,bigram,count
241,"('beta', 'version')",15
242,"('comment', 'section')",15
243,"('app', 'ios')",15
244,"('core', 'protocol')",15
245,"('athlete', 'nft')",15
246,"('metal', 'pay')",15
247,"('week', 'review')",15
248,"('nakamoto', 'games')",15
249,"('winner', 'check')",15
250,"('nft', 'drop')",14
251,"('nft', 'nfts')",14
252,"('mainnet', 'v')",14
253,"('latest', 'partnership')",14
254,"('staking', 'token')",14
255,"('weve', 'got')",14
256,"('dont', 'worry')",14
257,"('crypto', 'asset')",14
258,"('token', 'launch')",14
259,"('ethereum', 'wallet')",14
260,"('update', 'community')",14
261,"('partnership', 'w')",14
262,"('miss', 'chance')",14
263,"('update', 'update')",14
264,"('good', 'luck')",14
265,"('excited', 'share')",14
266,"('launch', 'take')",14
267,"('address', 'comment')",14
268,"('th', 'utc')",14
269,"('wallet', 'support')",14
270,"('listing', 'time')",14
271,"('utc', 'th')",14
272,"('testnet', 'v')",14
273,"('xhv', 'xusd')",14
274,"('noncustodial', 'wallet')",14
275,"('uncommon', 'athlete')",14
276,"('sold', 'second')",14
277,"('important', 'takeaway')",14
278,"('weekly', 'roadmap')",14
279,"('reef', 'card')",14
280,"('route', 'routerprotocol')",14
281,"('moonscape', 'city')",14
282,"('solrazr', 'staytuned')",14
283,"('nft', 'lottery')",14
284,"('terra', 'virtua')",14
285,"('around', 'corner')",13
286,"('updated', 'roadmap')",13
287,"('deep', 'dive')",13
288,"('web', 'defi')",13
289,"('price', 'feed')",13
290,"('launch', 'soon')",13
291,"('team', 'member')",13
292,"('apy', 'staking')",13
293,"('sure', 'check')",13
294,"('ios', 'app')",13
295,"('next', 'month')",13
296,"('listing', 'detail')",13
297,"('nft', 'sale')",13
298,"('lottery', 'winner')",13
299,"('boson', 'protocol')",13
300,"('ios', 'android')",13
301,"('check', 'article')",13
302,"('connect', 'metamask')",13
303,"('polygon', 'network')",13
304,"('press', 'release')",13
305,"('quick', 'update')",13
306,"('progress', 'update')",13
307,"('pool', 'open')",13
308,"('congrats', 'winner')",13
309,"('ha', 'started')",13
310,"('contract', 'address')",13
311,"('early', 'access')",13
312,"('coming', 'next')",13
313,"('winner', 'list')",13
314,"('around', 'world')",13
315,"('get', 'involved')",13
316,"('march', 'pm')",13
317,"('update', 'last')",13
318,"('ama', 'session')",13
319,"('u', 'discord')",13
320,"('sure', 'update')",13
321,"('user', 'access')",13
322,"('link', 'see')",13
323,"('guess', 'polygon')",13
324,"('win', 'uncommon')",13
325,"('crosschain', 'explorer')",13
326,"('see', 'wallet')",13
327,"('going', 'live')",12
328,"('nft', 'metaverse')",12
329,"('v', 'live')",12
330,"('new', 'update')",12
331,"('staking', 'apy')",12
332,"('whats', 'next')",12
333,"('earn', 'reward')",12
334,"('able', 'claim')",12
335,"('launch', 'staking')",12
336,"('yield', 'farming')",12
337,"('prize', 'pool')",12
338,"('launch', 'tomorrow')",12
339,"('smart', 'chain')",12
340,"('staking', 'event')",12
341,"('development', 'team')",12
342,"('claim', 'token')",12
343,"('allows', 'user')",12
344,"('read', 'latest')",12
345,"('v', 'launch')",12
346,"('celebrate', 'launch')",12
347,"('please', 'dm')",12
348,"('staking', 'amp')",12
349,"('crypto', 'exchange')",12
350,"('th', 'january')",12
351,"('last', 'year')",12
352,"('internal', 'staking')",12
353,"('ha', 'come')",12
354,"('time', 'average')",12
355,"('average', 'price')",12
356,"('price', 'make')",12
357,"('stake', 'tuned')",12
358,"('tuned', 'defi')",12
359,"('super', 'excited')",12
360,"('launch', 'day')",12
361,"('place', 'successful')",12
362,"('successful', 'completion')",12
363,"('completion', 'open')",12
364,"('launch', 'next')",12
365,"('love', 'hear')",12
366,"('set', 'launch')",12
367,"('update', 'app')",12
368,"('google', 'play')",12
369,"('coming', 'week')",12
370,"('wallet', 'ha')",12
371,"('pe', 'game')",12
372,"('router', 'protocol')",12
373,"('community', 'pool')",12
374,"('solana', 'wallet')",12
375,"('wallet', 'user')",12
376,"('revu', 'token')",12
377,"('soon', 'stay')",12
378,"('nft', 'gamefi')",12
379,"('working', 'capital')",12
380,"('game', 'design')",12
381,"('thanks', 'team')",12
382,"('team', 'scallop')",12
383,"('profit', 'circus')",12
384,"('souni', 'nft')",12
385,"('maintenance', 'mode')",12
386,"('stay', 'strong')",12
387,"('silver', 'strong')",12
388,"('strong', 'nft')",12
389,"('winner', 'ha')",12
390,"('address', 'nodearmy')",12
391,"('exact', 'date')",12
392,"('date', 'announced')",12
393,"('stake', 'amp')",11
394,"('within', 'next')",11
395,"('get', 'chance')",11
396,"('defi', 'ecosystem')",11
397,"('make', 'easy')",11
398,"('exciting', 'thing')",11
399,"('successful', 'launch')",11
400,"('important', 'update')",11
401,"('binance', 'smart')",11
402,"('staking', 'protocol')",11
403,"('staking', 'crypto')",11
404,"('gamefi', 'metaverse')",11
405,"('app', 'open')",11
406,"('announcement', 'get')",11
407,"('get', 'full')",11
408,"('dm', 'u')",11
409,"('ready', 'launch')",11
410,"('weve', 'working')",11
411,"('ha', 'ended')",11
412,"('end', 'month')",11
413,"('crosschain', 'transaction')",11
414,"('dag', 'ltx')",11
415,"('singlesided', 'staking')",11
416,"('second', 'closed')",11
417,"('check', 'detail')",11
418,"('medium', 'article')",11
419,"('planned', 'q')",11
420,"('crypto', 'world')",11
421,"('last', 'day')",11
422,"('crypto', 'project')",11
423,"('pm', 'est')",11
424,"('one', 'day')",11
425,"('nft', 'nftgame')",11
426,"('staking', 'day')",11
427,"('wait', 'see')",11
428,"('new', 'version')",11
429,"('wed', 'like')",11
430,"('igo', 'pool')",11
431,"('follow', 'u')",11
432,"('stake', 'revu')",11
433,"('k', 'usd')",11
434,"('glitch', 'testnet')",11
435,"('von', 'mises')",11
436,"('test', 'campaign')",11
437,"('hydra', 'chain')",11
438,"('distribution', 'date')",11
439,"('wallet', 'using')",11
440,"('grand', 'prize')",11
441,"('well', 'pick')",11
442,"('collection', 'released')",11
443,"('buy', 'sell')",11
444,"('launch', 'avalancheavax')",11
445,"('crypto', 'liquidity')",11
446,"('please', 'look')",10
447,"('less', 'hour')",10
448,"('th', 'pm')",10
449,"('full', 'video')",10
450,"('week', 'update')",10
451,"('ha', 'begun')",10
452,"('whats', 'coming')",10
453,"('bridge', 'gap')",10
454,"('check', 'blog')",10
455,"('went', 'live')",10
456,"('project', 'launch')",10
457,"('ha', 'launched')",10
458,"('receive', 'reward')",10
459,"('staking', 'feature')",10
460,"('youll', 'need')",10
461,"('new', 'product')",10
462,"('currently', 'staking')",10
463,"('nft', 'giveaway')",10
464,"('eth', 'bsc')",10
465,"('thanks', 'support')",10
466,"('feb', 'pm')",10
467,"('ambassador', 'program')",10
468,"('many', 'new')",10
469,"('release', 'new')",10
470,"('nfts', 'nft')",10
471,"('one', 'biggest')",10
472,"('another', 'full')",10
473,"('full', 'week')",10
474,"('week', 'bondly')",10
475,"('bondly', 'might')",10
476,"('might', 'missed')",10
477,"('missed', 'exciting')",10
478,"('update', 'handy')",10
479,"('handy', 'summary')",10
480,"('real', 'world')",10
481,"('runtime', 'upgrade')",10
482,"('apr', 'staking')",10
483,"('nfts', 'amp')",10
484,"('distributed', 'httpstcofrvqjormw')",10
485,"('httpstcofrvqjormw', 'time')",10
486,"('staking', 'portal')",10
487,"('thank', 'supporting')",10
488,"('circulating', 'supply')",10
489,"('crypto', 'web')",10
490,"('still', 'open')",10
491,"('launch', 'wa')",10
492,"('save', 'date')",10
493,"('recent', 'partnership')",10
494,"('please', 'update')",10
495,"('find', 'detail')",10
496,"('official', 'game')",10
497,"('beta', 'planned')",10
498,"('reward', 'amp')",10
499,"('crypto', 'nft')",10
